base_nombre,base_codigo,complemento_nombre,complemento_codigo,tipo,razon
BIONIC BALL SMALL,BS-B,BIONIC BALL MEDIUM,BM-B,upsell,Misma línea, mayor tamaño para perros medianos.
BIONIC BALL SMALL,BS-B,BIONIC TOSS-N-TUG,B-TNT,cross-sell,Actividad de lanzar/jalar; complementa la pelota.
BIONIC BALL SMALL,BS-B,BIONIC URBAN STICK MEDIUM,BM-US,cross-sell,Juguete resistente con compartimentos para premios.
BIONIC BALL SMALL,BS-B,BIONIC TREAT SHAKER SMALL,BS-TS,cross-sell,Interactivo para dispensar premios.
BIONIC BALL MEDIUM,BM-B,BIONIC TOSS-N-TUG,B-TNT,cross-sell,Juego de lanzar/jalar para variedad de ejercicio.
BIONIC BALL MEDIUM,BM-B,BIONIC URBAN STICK LARGE,BL-US,upsell,Versión más grande para masticadores intensos.
BIONIC BALL MEDIUM,BM-B,BIONIC TREAT SHAKER SMALL,BS-TS,cross-sell,Juego mental con premios.
BIONIC TOSS-N-TUG,B-TNT,BIONIC BALL MEDIUM,BM-B,cross-sell,Alterna con pelota compatible con lanzadores.
BIONIC TOSS-N-TUG,B-TNT,BIONIC URBAN STICK LARGE,BL-US,cross-sell,Otra textura y dinámica de juego resistente.
BIONIC URBAN STICK MEDIUM,BM-US,BIONIC BALL MEDIUM,BM-B,cross-sell,Variedad entre masticar y perseguir.
BIONIC URBAN STICK MEDIUM,BM-US,BIONIC TREAT SHAKER SMALL,BS-TS,cross-sell,Añade estímulo con premios.
BIONIC URBAN STICK LARGE,BL-US,BIONIC TOSS-N-TUG,B-TNT,cross-sell,Para tirar y jalar al aire libre.
BIONIC URBAN STICK LARGE,BL-US,BIONIC BALL MEDIUM,BM-B,cross-sell,Juego de buscar-perseguir complementario.
BIONIC TREAT SHAKER SMALL,BS-TS,BIONIC BALL SMALL,BS-B,cross-sell,Combina estimulación mental con juego físico.
BIONIC TREAT SHAKER SMALL,BS-TS,BIONIC TOSS-N-TUG,B-TNT,cross-sell,Actividad de tirar y jalar adicional.
ARENA L-FAVOURITE LAVANDA,F10-LA,BIO STONES CARBON ACTIVADO,BS4-C,alternativa,Opción con carbón activado para mayor control de olores.
ARENA L-FAVOURITE LAVANDA,F10-LA,BIO STONES HEALTH MONITOR,BS2.5-HM,cross-sell,Monitor de pH para salud urinaria del gato.
ARENA L-FAVOURITE LAVANDA,F10-LA,BIO STONES MANZANA (8kg),BS8-M,alternativa,Bentonita en esferas 8 kg, 99% libre de polvo.
ARENA L-FAVOURITE LAVANDA,F10-LA,BIO STONES MANZANA (25kg),BS25-L,alternativa,Presentación 25 kg para mayor rendimiento.
